Stage,25%,Central,Max,Theta,Alpha,Total
1,1.9000000000000001,4.3,30.200000000000003,3.573297055158289e-05,1.864453952882481e-05,0.00020576046043315025
1,4.4,11.200000000000001,49.900000000000006,3.805143491641337e-05,2.0162654365488825e-05,0.00020303945669835973
1,3.2,9.1,44.7,3.941544622792942e-05,2.6292193571235313e-05,0.00023287775152393985
1,1.0,4.0,45.400000000000006,2.1967893286575425e-05,1.8075288404281833e-05,0.00023862942670406718
1,1.2000000000000002,5.7,49.400000000000006,4.0220722673463346e-05,3.162806094991633e-05,0.0004977445364994454
1,1.0,2.9000000000000004,32.800000000000004,2.78631353927537e-05,2.0959393489201828e-05,0.00024396926454821896
1,0.30000000000000004,0.6000000000000001,8.8,0.00020702324385494202,7.824701892620407e-05,0.0021751217194225774
1,3.5,6.6000000000000005,45.7,0.00024344432400977818,0.00011600903364192233,0.0007612337455456422
1,1.4000000000000001,4.0,16.5,0.00017298476159140154,6.859447099478002e-05,0.0005703210465070265
1,2.0,4.5,12.4,0.00022679148427856091,8.040616797749021e-05,0.000633587679551476
1,1.3,3.6,15.100000000000001,0.00014738847891557528,4.732242048536513e-05,0.00048589547131950667
1,4.1000000000000005,6.7,15.5,0.0003199417443415536,0.00012608387675752233,0.0006586191418107829
1,2.0,4.7,12.600000000000001,0.00020585561650847498,6.642068775156611e-05,0.0005462275102974958
1,2.8000000000000003,5.7,12.600000000000001,0.0002638297502907332,9.416563288086413e-05,0.0006063424399642406
1,1.3,3.8000000000000003,15.5,0.00017480536901233075,7.985920078966538e-05,0.0006166003286196285
1,1.9000000000000001,4.6000000000000005,17.8,0.00016683127385821317,6.231614347096625e-05,0.0005021807633234441
1,1.7000000000000002,5.4,15.3,0.0002487346965316329,8.39366303571381e-05,0.0006448696587107343
1,2.4000000000000004,5.7,17.3,0.00019994967111110524,9.032203566689524e-05,0.0005401471126283386
1,1.3,4.4,12.4,0.0002829716730849069,8.842632894403694e-05,0.0007893666278515881
1,2.0,4.3,12.8,0.00020961699499955116,7.271783095621248e-05,0.0006037743113217661
1,1.6,3.5,13.0,0.00022044341395749512,8.490128880941342e-05,0.0008009036145238163
1,1.4000000000000001,3.4000000000000004,12.200000000000001,0.0002461911345746713,0.00010298409627176723,0.0008929678371983713
